
food,foodLabel,image
http://www.wikidata.org/entity/Q509835,Sushki,http://commons.wikimedia.org/wiki/Special:FilePath/Sooshki.jpg
http://www.wikidata.org/entity/Q515692,Pozole,http://commons.wikimedia.org/wiki/Special:FilePath/Pozole.jpg
http://www.wikidata.org/entity/Q526320,Q526320,http://commons.wikimedia.org/wiki/Special:FilePath/Grunneger%20mollenonen%20on%20a%20plate%20%282018%29.jpg
http://www.wikidata.org/entity/Q528008,obara,http://commons.wikimedia.org/wiki/Special:FilePath/Tele%C4%8Dja%20obara%20z%20%C5%BEganci.jpg
http://www.wikidata.org/entity/Q532942,Chorrillana,http://commons.wikimedia.org/wiki/Special:FilePath/Chorrillana.jpg
http://www.wikidata.org/entity/Q535064,Magiritsa,http://commons.wikimedia.org/wiki/Special:FilePath/Magiritsa%203.jpg
http://www.wikidata.org/entity/Q541392,Bacalhau à Brás,http://commons.wikimedia.org/wiki/Special:FilePath/Bacalhau%20a%20Bras.jpg
http://www.wikidata.org/entity/Q551458,deviled egg,http://commons.wikimedia.org/wiki/Special:FilePath/Deviled%20Eggs%20-%203-23-08.jpg
http://www.wikidata.org/entity/Q553905,wonton,http://commons.wikimedia.org/wiki/Special:FilePath/Wonton%201.JPG
http://www.wikidata.org/entity/Q556052,teacake,http://commons.wikimedia.org/wiki/Special:FilePath/Teacake.jpg
http://www.wikidata.org/entity/Q564491,Tacacá,
http://www.wikidata.org/entity/Q564622,cabbage soup,http://commons.wikimedia.org/wiki/Special:FilePath/Kapusniak.jpg
http://www.wikidata.org/entity/Q581701,Cocido lebaniego,http://commons.wikimedia.org/wiki/Special:FilePath/Cocido%20lebaniego.jpg
http://www.wikidata.org/entity/Q581884,Rönttönen,
http://www.wikidata.org/entity/Q582328,Gim,http://commons.wikimedia.org/wiki/Special:FilePath/Korean%20laver-Gim-01.jpg
http://www.wikidata.org/entity/Q586307,lokma,http://commons.wikimedia.org/wiki/Special:FilePath/Lokma%20Galata%20Bridge.JPG
http://www.wikidata.org/entity/Q586535,cretons,http://commons.wikimedia.org/wiki/Special:FilePath/Creton%20du%20Porc.jpg
http://www.wikidata.org/entity/Q588828,cochinillo de Segovia,http://commons.wikimedia.org/wiki/Special:FilePath/Cochinillo%20de%20Segovia.jpg
http://www.wikidata.org/entity/Q596523,Mouna,http://commons.wikimedia.org/wiki/Special:FilePath/Mouna%20%28brioche%29.jpg
http://www.wikidata.org/entity/Q598222,bigos,http://commons.wikimedia.org/wiki/Special:FilePath/Bigos%20in%20Krak%C3%B3w%20%28Rynek%20G%C5%82%C3%B3wny%29.jpg
